strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_bbands_pctb_20,alphabuilderstw,technical,bb_position,0.9999443322547963,0.9999443322547963,828424,-0.025125465225420657,-0.024891557255207197
mom_rsi_14,alphabuilderstw,momentum,rsi14,0.9993928476854859,0.9993928476854859,832442,-0.016680265262073793,-0.016774643423643286
tech_cmo_14,alphabuilderstw,technical,rsi14,0.9993927258943356,0.9993927258943356,832442,-0.016679944600498108,-0.016774643423643286
tech_atr_14,alphabuilderstw,technical,atr14,-0.9941279340651132,0.9941279340651132,846964,0.01032094364570334,-0.010755671697390275
l1_macdHist,stockvision_l1,l1_signal,macdHist,0.9927766666882388,0.9927766666882388,848433,-0.021495125567087565,-0.022463351229758063
l1_dealerNet5d,stockvision_l1,l1_signal,dealer_5d,0.9895535315735161,0.9895535315735161,848433,-0.011429904564612464,-0.012381716384437259
tech_cci_20,alphabuilderstw,technical,bb_position,0.9767227898324436,0.9767227898324436,828424,-0.019377130117994135,-0.024891557255207197
tech_keltner_pos_20,alphabuilderstw,technical,keltner_position,0.970339007976908,0.970339007976908,846288,-0.028257118209128525,-0.026209558310383026
tech_wma_10_pos,alphabuilderstw,technical,ma10_bias,0.9615265919799961,0.9615265919799961,837073,-0.041090535300176596,-0.039719990304153976
vol_money_flow_5d,alphabuilderstw,volume,ma5_bias,-0.9545739391812841,0.9545739391812841,842581,0.02842568873514042,-0.03868098345144716
tech_bias_20,alphabuilderstw,technical,keltner_position,-0.9450892319382743,0.9450892319382743,828424,0.03349804841805848,-0.026209558310383026
tech_sma_20_pos,alphabuilderstw,technical,keltner_position,0.9450892059546215,0.9450892059546215,828424,-0.0334980484653778,-0.026209558310383026
tech_ema_12_pos,alphabuilderstw,technical,ma10_bias,0.94414165760613,0.94414165760613,848433,-0.03928779210510085,-0.039719990304153976
tech_volume_ratio_5,alphabuilderstw,technical,vol_ratio_5d,0.9423534613411059,0.9423534613411059,847502,-0.009415586814862003,-0.010104636616897677
tech_bbi,alphabuilderstw,technical,ma10_bias,0.9326191069361046,0.9326191069361046,825533,-0.039384848132628644,-0.039719990304153976
tech_donchian_pos_20,alphabuilderstw,technical,keltner_position,0.9107736850703709,0.9107736850703709,828424,-0.018193219221246136,-0.026209558310383026
tech_psy_12,alphabuilderstw,technical,CNTP_10,-0.9009978153134596,0.9009978153134596,848433,0.008930668763483758,-0.009505862276207078
l1_return20d,stockvision_l1,l1_signal,BETA_20,0.8792724664099762,0.8792724664099762,843947,-0.022857431844817755,-0.014284701210931674
tech_slow_kd_14,alphabuilderstw,technical,keltner_position,0.876376272500411,0.876376272500411,846964,-0.008466635073151298,-0.026209558310383026
tech_williams_r_14,alphabuilderstw,technical,bb_position,-0.8681861497690948,0.8681861497690948,833309,0.01955197803203668,-0.024891557255207197
