id,kind,factor_id,source,category,direction_mode,direction,declared_direction,is_declared_direction,coverage,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
strategy95_size_log_mktcap_low,strategy95_factor_single,size_log_mktcap,alphabuilderstw,size,low,-1,-1.0,1,0.8990653644478245,ok,1.198,0.45215565615268805,0.5279638287724706,1.6967959637129522,2.4624104568447662,-0.08287270434707628,1.761838651432996,6.949433326697717,5.455368037452775,0.6205128205128205,10.0,10.0,401,,830,10.0,10,10
strategy95_tech_atr_14_low,strategy95_factor_single,tech_atr_14,alphabuilderstw,technical,low,-1,-1.0,1,0.9445332826321899,ok,1.06,0.5884929786548279,0.7011931885093907,2.522541496283498,3.667943564625098,-0.14828783657571565,1.6244918233475525,4.997986362984597,3.968318029739861,0.5794871794871795,10.0,10.0,400,,830,10.0,10,10
strategy95_val_sp_high,strategy95_factor_single,val_sp,alphabuilderstw,valuation,high,1,1.0,1,0.8972040987871753,ok,1.11,0.3170664797984333,0.3735162532272173,1.2635016040668445,1.5015035334670142,-0.12432960015229066,1.5667947443236199,5.821200672723778,2.5500040165007083,0.49742268041237114,10.0,10.0,402,,830,10.0,10,10
strategy95_l1_brokerNetAmount5d_high,strategy95_factor_single,l1_brokerNetAmount5d,stockvision_l1,l1_signal,high,1,1.0,1,0.8431543449545691,ok,1.894,0.5359888894284226,0.6064151965373744,1.5763349717058495,3.173766286129938,-0.13587906321826781,1.5373269992968763,4.785486535684062,3.944312196541573,0.5666666666666667,10.0,10.0,408,,830,10.0,10,10
strategy95_mom_macd_trend_10_high,strategy95_factor_single,mom_macd_trend_10,alphabuilderstw,momentum,high,1,1.0,1,0.947664411800024,ok,1.101,0.505871526589152,0.5798937504545802,1.6568215053786735,2.9074755587371173,-0.24251694478596542,1.4511224098652704,4.0507241612947125,2.085836388346842,0.5666666666666667,10.0,10.0,403,,830,10.0,10,10
strategy95_tech_dma_10_50_high,strategy95_factor_single,tech_dma_10_50,alphabuilderstw,technical,high,1,1.0,1,0.810510146899892,ok,1.127,0.48715579247388807,0.5568351607254716,1.5596164202024527,2.748122075342993,-0.2540742809829164,1.3871775195061278,3.953596032000645,1.9173000021463054,0.5641025641025641,10.0,10.0,403,,830,10.0,10,10
strategy95_l1_eps_high,strategy95_factor_single,l1_eps,stockvision_l1,l1_signal,high,1,1.0,1,0.9356022095024616,ok,1.213,0.40860573862387484,0.5103661127811048,2.2776778039739822,2.128627076560938,-0.11674979841497535,1.3845698183864072,4.137701528667426,3.499541316195592,0.5846153846153846,10.0,10.0,400,,830,10.0,10,10
strategy95_vol_share_turnover_21d_low,strategy95_factor_single,vol_share_turnover_21d,alphabuilderstw,volume,low,-1,-1.0,1,0.8250710483128527,ok,1.091,0.45930590670112625,0.5941889679331993,3.0190548850151715,2.5194950237050575,-0.30900958905155307,1.3185243687799915,3.530131963051249,1.4863326564857389,0.4755784061696658,10.0,10.0,404,,830,10.0,10,10
strategy95_vola_cv_90d_low,strategy95_factor_single,vola_cv_90d,alphabuilderstw,volatility,low,-1,-1.0,1,0.7913090901813233,ok,0.954,0.5133742869047071,0.6556281208980024,3.184033106207952,2.97266706474743,-0.341433809113174,1.287991475978404,3.7002451265832756,1.5035395962752556,0.517948717948718,10.0,10.0,404,,830,10.0,10,10
strategy95_mom_close_to_52w_high_high,strategy95_factor_single,mom_close_to_52w_high,alphabuilderstw,momentum,high,1,1.0,1,0.7389965176319897,ok,1.091,0.2675524819928632,0.3280768650934911,1.3547026053040834,1.2018968755075838,-0.23903821719133767,1.197084833838478,3.3810852067715005,1.1192406500095764,0.5128205128205128,10.0,10.0,410,,830,10.0,10,10
strategy95_tech_trix_12_high,strategy95_factor_single,tech_trix_12,alphabuilderstw,technical,high,1,1.0,1,0.9475513349077372,ok,1.266,0.4376423193309871,0.5057806180807277,1.5251230348567404,2.3485392308992443,-0.23449129065375574,1.195942094179933,3.4185004849848815,1.8662682755856204,0.4910025706940874,10.0,10.0,405,,830,10.0,10,10
strategy95_l1_squeezeMomentum_high,strategy95_factor_single,l1_squeezeMomentum,stockvision_l1,l1_signal,high,1,1.0,1,0.8289877116439178,ok,1.145,0.3906774443259633,0.482526878509849,2.055843635411221,1.9980106447763522,-0.2912762303621763,1.188171267230388,2.8764207139730864,1.3412149411944636,0.5743589743589743,10.0,10.0,404,,830,10.0,10,10
strategy95_l1_macdHist_high,strategy95_factor_single,l1_macdHist,stockvision_l1,l1_signal,high,1,1.0,1,0.947664411800024,ok,0.99,0.3453814958387902,0.4396113566337919,2.109124147604997,1.6850705082203365,-0.27315797770802974,1.1774862330876956,2.8867414283006934,1.2643557225728135,0.5564102564102564,10.0,10.0,408,,830,10.0,10,10
strategy95_mom_9m_high,strategy95_factor_single,mom_9m,alphabuilderstw,momentum,high,1,1.0,1,0.8265960853380299,ok,1.335,0.4147093054117248,0.5787302603812883,3.6712413020766026,2.1739879772530033,-0.34427272296801537,1.1693406421677548,2.9091223149101686,1.204560315535358,0.5090439276485789,10.0,10.0,401,,830,10.0,10,10
strategy95_tech_mtm_10_high,strategy95_factor_single,tech_mtm_10,alphabuilderstw,technical,high,1,1.0,1,0.8457591161990153,ok,1.127,0.3671560583085409,0.4440868975930038,1.7219243397098043,1.8324952908379428,-0.25069716142087894,1.15534920055515,3.111813433342129,1.464481733300675,0.5666666666666667,10.0,10.0,408,,830,10.0,10,10
strategy95_mom_ma50_200_ratio_high,strategy95_factor_single,mom_ma50_200_ratio,alphabuilderstw,momentum,high,1,1.0,1,0.7528079093783773,ok,1.084,0.33822672840206036,0.527740294514097,4.241836241859711,1.637825345312629,-0.40857744267535434,1.152921352619967,2.267133026415569,0.827795211197424,0.5025641025641026,10.0,10.0,403,,830,10.0,10,10
strategy95_tech_emv_14_high,strategy95_factor_single,tech_emv_14,alphabuilderstw,technical,high,1,1.0,1,0.8330084457431053,ok,1.479,0.38090325828724847,0.4749070079427863,2.1040631567443207,1.928432571901431,-0.16931896718714323,1.1391190681485723,3.664557275678884,2.249486692175192,0.5449871465295629,10.0,10.0,407,,830,10.0,10,10
